Title,Directors,Year
Something Wicked This Way Comes,Jack Clayton,1983
Widows,Steve McQueen (III),2018
A Kid Like Jake,Silas Howard,2018
Atlantis: The Lost Empire,Gary Trousdale,2001
Gone Girl,David Fincher,2014
Ne Le Dis à Personne,Guillaume Canet,2006
Styria,Mark Devendorf,2014
Loving Vincent,Dorota Kobiela,2017
Glass,M. Night Shyamalan,2019
Maudie,Aisling Walsh,2016
The 15:17 to Paris,Clint Eastwood,2018
Paper Moon,Peter Bogdanovich,1973
Avengers: Infinity War,Anthony Russo (I),2018
Mary Shelley,Haifaa Al-Mansour,2017
Safe,Todd Haynes,1995
Hide Your Smiling Faces,Daniel Patrick Carbone,2014
Valerian and the City of a Thousand Planets,Luc Besson,2017
The Texas Chain Saw Massacre,Tobe Hooper,1974
Z,Costa-Gavras,1969
The Rage: Carrie 2,Katt Shea,1999
El Abrazo Partido,Daniel Burman,2004
Unsane,Steven Soderbergh,2018
Chun Gwong Cha Sit,Kar Wai Wong,1997
Lord of War,Andrew Niccol,2005
Summer of Blood,Onur Tukel,2014
The Favourite,Yorgos Lanthimos,2018
Touch of Evil,Orson Welles,1958
Out in the Dark,Michael Mayer,2012
Carmen y Lola,Arantxa Echevarría,2018
Guinevere,Audrey Wells,1999
Wildlife,Paul Dano,2018
Fear and Loathing in Las Vegas,Terry Gilliam,1998
In Darkness,Anthony Byrne,2018
La Fille sur le Pont,Patrice Leconte,1999
Housekeeping,Bill Forsyth,1987
All Quiet on the Western Front,Lewis Milestone,1930
A United Kingdom,Amma Asante,2016
Escape From New York,John Carpenter (I),1981
Kynodontas,Yorgos Lanthimos,2009
Lucky Them,Megan Griffiths,2013
The Babadook,Jennifer Kent,2014
A Bucket of Blood,Roger Corman,1959
Bird Box,Susanne Bier,2018
Hong Gao Liang,Zhang Yimou,1987
A Wrinkle in Time,Ava DuVernay,2018
Macabre,Kimo Stamboel,2009
La Proie,Eric Valette,2011
Aquaman,James Wan,2018
Black Nativity,Kasi Lemmons,2013
Umarete wa mita keredo,Yasujiro Ozu,1932
How to Talk to Girls at Parties,John Cameron Mitchell,2017
Pinky,Elia Kazan,1949
After the Thin Man,W.S. Van Dyke,1936
Nothing,Vincenzo Natali,2003
The Commuter,Jaume Collet-Serra,2018
