Title,Directors,Year,Rating10
Murder on the Orient Express,Kenneth Branagh,2017,6
Get Out,Jordan Peele,2017, 
Grave,Julia Ducournau,2016, 
The Babysitter,McG,2017, 
Happy Death Day,Christopher Landon (II),2017, 
It,Andy Muschietti,2017,8
mother!,Darren Aronofsky,2017, 
Wonder Woman,Patty Jenkins,2017,8
Ghost in the Shell,Rupert Sanders,2017,8
Split,M. Night Shyamalan,2017, 
Zodiac,David Fincher,2007, 
Below Her Mouth,April Mullen,2016,6
Arrival,Denis Villeneuve,2016,10
Ah-ga-ssi,Park Chan-wook (I),2016,10
Friend Request,Simon Verhoeven,2016, 
Mascots,Christopher Guest (I),2016, 
Dazed and Confused,Richard Linklater,1993, 
Alice Through the Looking Glass,James Bobin,2016, 
Before I Wake,Mike Flanagan,2016, 
Tomorrowland,Brad Bird,2015, 
Julieta,Pedro Almodóvar,2016, 
Jenny's Wedding,Mary Agnes Donoghue,2015, 
The Omen,Richard Donner,1976, 
Enemy,Denis Villeneuve,2013, 
The Secret Life of Pets,Chris Renaud,2016, 
Ghostbusters,Paul Feig,2016,9
The Cabin in the Woods,Drew Goddard,2012, 
The Final Girls,Todd Strauss-Schulson,2015, 
Scream 4,Wes Craven,2011,9
Scream 3,Wes Craven,2000,7
Scream 2,Wes Craven,1997,7
The Fundamentals of Caring,Rob Burnett,2016,7
Suicide Squad,David Ayer,2016,7
Gamer,Brian Taylor (V),2009, 
Prisoners,Denis Villeneuve,2013,10
The Bourne Ultimatum,Paul Greengrass,2007, 
What We Do in the Shadows,Jemaine Clement,2014,8
The Bourne Supremacy,Paul Greengrass,2004, 
The Bourne Identity,Doug Liman,2002, 
Scream,Wes Craven,1996,8
A Perfect Ending,Nicole Conn,2012,6
Kingsman: The Secret Service,Matthew Vaughn,2014,8
X-Men: Apocalypse,Bryan Singer,2016,8
Krampus,Michael Dougherty,2015,5
10 Cloverfield Lane,Dan Trachtenberg,2016,8
Chappie,Neill Blomkamp,2015,6
